"GEOID10","NAME","TOTAL_POPULATION","HISP_LAT_TOTAL","HISP_LAT_NONHISPANIC_LATINO","HISP_LAT_HISPANIC_LATINO","TOTAL_POP_WHITE","MEDIAN_AGE"
"36005021100","Census Tract 211, Bronx County, New York",5565,5565,2133,3432,971,29.3
"36005021200","Census Tract 212, Bronx County, New York",5267,5267,3627,1640,842,41.5
"36005021301","Census Tract 213.01, Bronx County, New York",1201,1201,250,951,378,30.4
"36005021302","Census Tract 213.02, Bronx County, New York",5415,5415,2207,3208,865,30.2
"36005021501","Census Tract 215.01, Bronx County, New York",3506,3506,1023,2483,686,25.9
"36005021502","Census Tract 215.02, Bronx County, New York",6051,6051,1940,4111,1135,29.8
"36005021601","Census Tract 216.01, Bronx County, New York",4206,4206,1489,2717,1183,30.4
"36005021602","Census Tract 216.02, Bronx County, New York",5769,5769,3662,2107,887,38.6
"36005021700","Census Tract 217, Bronx County, New York",5334,5334,2546,2788,811,37
"36005021800","Census Tract 218, Bronx County, New York",6499,6499,2315,4184,1616,32.1
"36005021900","Census Tract 219, Bronx County, New York",1367,1367,343,1024,328,30.3
"36005022000","Census Tract 220, Bronx County, New York",1487,1487,416,1071,368,25.4
"36005022101","Census Tract 221.01, Bronx County, New York",3849,3849,984,2865,996,30.8
"36005022102","Census Tract 221.02, Bronx County, New York",5488,5488,892,4596,1295,33.1
"36005022200","Census Tract 222, Bronx County, New York",3425,3425,1335,2090,899,30.3
"36005022300","Census Tract 223, Bronx County, New York",5047,5047,1084,3963,1027,33.6
"36005022401","Census Tract 224.01, Bronx County, New York",2708,2708,1118,1590,1043,34
"36005022403","Census Tract 224.03, Bronx County, New York",3188,3188,1295,1893,1476,34.8
"36005022404","Census Tract 224.04, Bronx County, New York",4509,4509,2330,2179,1891,32.8
"36005022500","Census Tract 225, Bronx County, New York",7698,7698,2526,5172,1495,29.8
"36005022701","Census Tract 227.01, Bronx County, New York",5196,5196,1859,3337,1017,30.7
"36005022702","Census Tract 227.02, Bronx County, New York",1699,1699,636,1063,269,34.1
"36005022703","Census Tract 227.03, Bronx County, New York",1556,1556,442,1114,406,36
"36005022800","Census Tract 228, Bronx County, New York",6218,6218,3145,3073,2504,31.5
"36005022901","Census Tract 229.01, Bronx County, New York",5370,5370,1941,3429,924,32
"36005022902","Census Tract 229.02, Bronx County, New York",3273,3273,991,2282,596,28.6
"36005023000","Census Tract 230, Bronx County, New York",2950,2950,1269,1681,1104,30.2
"36005023100","Census Tract 231, Bronx County, New York",1537,1537,577,960,234,35.2
